    Date, Time,Site_22,Site_23,Site_24,Site_25,Site_26,Site_28,Site_72,Site_72, Site_A, Site_H, Site_K, Site_R,Site_V
20150106,21:00,0.05,0.05,0.1,0.06,                    LST,0.01,                    LST,                    LST,0.05,0.06,                     ST,                    AQI,                     BL
20150106,22:00,0.12,0.21,0.1,0.03,                    LST,0,                    LST,                    LST,0.04,0.06,                     BL,                    AQI,0.1
20150106,23:00,0.09,0.27,0.11,0.04,                    LST,0,                    LST,                    LST,0.05,0.05,0.08,                    AQI,0.12
20150107,0:00,                     ST,0.8,0.1,0.03,                    LST,                     ST,                    LST,                    LST,                     ST,0.07,0.07,                     ST,0.16
20150107,1:00,                     BL,1.47,0.09,0.13,                    LST,                     BL,                    LST,                    LST,                     BL,0.05,0.06,                     BL,0.14
20150107,2:00,0.13,                     ST,                     ST,                     ST,                    LST,0.02,                    LST,                    LST,0.03,                     ST,0.07,0.11,                     ST
20150107,3:00,0.54,                     BL,                     BL,                     BL,                    LST,0.02,                    LST,                    LST,0.06,                     BL,0.07,0.15,                     BL
20150107,4:00,0.29,0.24,0.1,0.08,                    LST,0,                    LST,                    LST,0.07,0.05,0.22,0.17,0.32
20150107,5:00,0.24,0.18,0.15,0.05,                    LST,0,                    LST,                    LST,0.1,0.12,0.22,0.16,0.22
20150107,6:00,0.31,0.17,0.16,0.06,                    LST,0,                    LST,                    LST,0.15,0.11,0.29,0.14,0.29
20150107,7:00,0.34,0.14,0.14,0.12,                    LST,0.01,                    LST,                    LST,0.15,0.1,1,0.14,0.28
20150107,8:00,0.29,0.13,0.13,0.19,                    LST,0,                    LST,                    LST,0.14,0.08,0.3,0.14,0.88
20150107,9:00,0.25,0.11,0.11,0.35,                    LST,0,                    LST,                    LST,0.13,0.08,0.2,                    AQI,0.96
20150107,10:00,0.2,0.09,0.08,0.09,                    LST,0,                    LST,                    LST,0.07,0.1,0.24,                    LST,0.96
20150107,11:00,0.19,0.06,0.04,0.09,                    LST,0,                    LST,                    LST,0.06,0.54,0.15,                    AQI,0.6
20150107,12:00,0.09,0.04,0.02,0.07,                    LST,0,                    LST,                    LST,0.02,                     IQ,                     IQ,                     XX,0.96
20150107,13:00,0.03,0.02,0.01,0.06,                     XX,0.01,                    LST,                    LST,0.01,0.04,0.05,                     ST,0.38
20150107,14:00,0.05,0,0.01,0.04,                     XX,0,                    LST,                    LST,0.01,0.04,0,                     BL,0.28
20150107,15:00,0.05,0.01,0,0.02,                     ST,0,                    LST,                    LST,0,0.02,0.02,1.32,0.47
20150107,16:00,0,0,0.01,0.01,                     BL,0,                    LST,                    LST,0.01,0.03,0.02,1.85,0.07
20150107,17:00,0.06,0,0,0.01,                     ST,0,                    LST,                    LST,0,0.02,0.04,0.27,0.08
20150107,18:00,0.06,0,0.01,0,                    LST,0,                    LST,                    LST,0.01,0.03,0.02,0.24,0.04
20150107,19:00,0.05,0,0,0,                    LST,0,                    LST,                    LST,0,0.03,0.02,0.35,0.07
20150107,20:00,0,0.03,0.01,0.02,                    LST,0,                    LST,                    LST,0.01,0.01,0,0.33,0.04
20150107,21:00,0,0.02,0,0.01,                    LST,0,                    LST,                    LST,0,0.03,                     ST,0.28,0.03
20150107,22:00,0,0,0.01,0.01,                    LST,0,                    LST,                    LST,0,0.03,                     BL,0.2,0.04
20150107,23:00,0,0,0,0,                    LST,0,                    LST,                    LST,0,0.03,0.02,0.26,0.04
20150108,0:00,0,                     ST,                     ST,                     ST,                    LST,0,                    LST,                    LST,0,                     ST,0,1.11,0.05
